# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
0,0,1,633903628448054,633903651102855
1,24,0,633903728851927,633903732994638
2,48,1,633903828846606,633903833015927
3,72,0,633903928829177,633903934067497
4,96,1,633904029503148,633904033021656
5,120,0,633904128776366,633904132999354
6,144,1,633904228821942,633904232989615
7,168,0,633904328866694,633904332932298
8,192,1,633904428798563,633904432969601
9,216,0,633904528824576,633904532978499
10,240,1,633904628819310,633904632979422
11,264,0,633904728838158,633904732987368
12,288,1,633904828815826,633904832989686
13,312,0,633904928822482,633904932933667
14,336,1,633905028861639,633905032995612
15,360,0,633905128834009,633905132986199
16,384,1,633905228816234,633905232980282
17,408,0,633905328792591,633905332949309
18,432,1,633905428806340,633905432986087
19,456,0,633905528820313,633905532976165
20,480,1,633905628816903,633905632970651
21,504,0,633905728797815,633905732949979
22,528,1,633905828811393,633905832923082
23,552,0,633905929043631,633905932923431
24,576,1,633906028851634,633906032950819
25,600,0,633906128823672,633906132941228
26,624,1,633906228837469,633906232940298
27,648,0,633906328815570,633906332957104
28,672,1,633906428785290,633906434559957
29,696,0,633906528789247,633906532940138
30,720,1,633906628794766,633906632973723
31,744,0,633906728791091,633906732928552
32,768,1,633906828786035,633906832966683
33,792,0,633906928747313,633906932951172
34,816,1,633907028784916,633907032943821
35,840,0,633907128789400,633907132948473
36,864,1,633907228798285,633907232930354
37,888,0,633907328795945,633907332926039
38,912,1,633907428782989,633907432950820
39,936,0,633907529560721,633907532946649
40,960,1,633907628880352,633907633006625
41,984,0,633907728851322,633907733012221
42,1008,1,633907828877134,633907833052385
43,1032,0,633907928873556,633907933057207
44,1056,1,633908028881776,633908033054422
45,1080,0,633908128848559,633908133029919
46,1104,1,633908228945190,633908233930975
47,1128,0,633908328860167,633908333025362
48,1152,1,633908429857897,633908433030242
49,1176,0,633908528853859,633908533020677
50,1200,1,633908628874015,633908633019569
51,1224,0,633908728819614,633908733011967
52,1248,1,633908828839613,633908833021220
53,1272,0,633908928862535,633908933018618
54,1296,1,633909028857321,633909032985381
55,1320,0,633909128832207,633909133011570
56,1344,1,633909228829392,633909233025598
57,1368,0,633909328842653,633909332978174
58,1392,1,633909428836626,633909432985756
59,1416,0,633909528821955,633909533024530
60,1440,1,633909628849188,633909633015229
61,1464,0,633909728872663,633909732972066
62,1488,1,633909828854459,633909833654665
63,1512,0,633909928853529,633909933052193
64,1536,1,633910029790401,633910033002471
65,1560,0,633910128863885,633910132986112
66,1584,1,633910228811884,633910232963901
67,1608,0,633910328812728,633910332963059
68,1632,1,633910428796852,633910432958036
69,1656,0,633910528847821,633910534370219
70,1680,1,633910628799286,633910632964454
71,1704,0,633910728801363,633910733113913
72,1728,1,633910828793329,633910833278603
73,1752,0,633910928813857,633910932961059
74,1776,1,633911028760504,633911032949698
75,1800,0,633911128829838,633911132970860
76,1824,1,633911228815039,633911234079615
77,1848,0,633911328740367,633911332930679
78,1872,1,633911429418991,633911432940248
79,1896,0,633911528805611,633911532970222
80,1920,1,633911628764943,633911632932159
81,1944,0,633911728780374,633911732934670
82,1968,1,633911828817681,633911832959265
83,1992,0,633911928799247,633911932952685
84,2016,1,633912028834902,633912032935879
85,2040,0,633912128782623,633912132907150
86,2064,1,633912228790248,633912232947492
87,2088,0,633912328802605,633912332946252
88,2112,1,633912428765268,633912432902396
89,2136,0,633912528732466,633912532924365
90,2160,1,633912628755140,633912632948733
91,2184,0,633912728764293,633912732911020
92,2208,1,633912828792779,633912832896594
93,2232,0,633912928726843,633912932887642
94,2256,1,633913028756143,633913032913481
95,2280,0,633913128779429,633913132941084
96,2304,1,633913228787642,633913232862104
97,2328,0,633913328743762,633913332906552
98,2352,1,633913428740381,633913432905949
99,2376,0,633913528750620,633913532935714
100,2400,1,633913628774205,633913632876181
101,2424,0,633913728716094,633913732910711
102,2448,1,633913828752207,633913832921352
103,2472,0,633913928763130,633913932920127
104,2496,1,633914028756329,633914032888700
105,2520,0,633914128707653,633914132903734
106,2544,1,633914228739317,633914232885699
107,2568,0,633914328751958,633914332910745
108,2592,1,633914428736970,633914432887529
109,2616,0,633914528708585,633914532916761
110,2640,1,633914628748420,633914632919623
111,2664,0,633914728757251,633914732848314
112,2688,1,633914828735201,633914832886820
113,2712,0,633914928777208,633914932872469
114,2736,1,633915028717392,633915032873019
115,2760,0,633915128721897,633915132842512
116,2784,1,633915228674357,633915232846304
117,2808,0,633915328684848,633915332837479
118,2832,1,633915428726846,633915432852614
119,2856,0,633915528710238,633915532844885
120,2880,1,633915628713597,633915632862778
121,2904,0,633915728686517,633915732828066
122,2928,1,633915828698741,633915832837035
123,2952,0,633915928729580,633915934259402
124,2976,1,633916028729410,633916032847060
125,3000,0,633916129224555,633916132833135
126,3024,1,633916228715285,633916232853124
127,3048,0,633916328714809,633916332856244
128,3072,1,633916428721238,633916432877057
129,3096,0,633916528692332,633916532856162
130,3120,1,633916628695018,633916632837722
131,3144,0,633916728717181,633916732845230
132,3168,1,633916828728392,633916832854944
133,3192,0,633916928679457,633916932835143
134,3216,1,633917028686603,633917032766908
135,3240,0,633917128706347,633917133748147
136,3264,1,633917228683322,633917232867069
137,3288,0,633917328702790,633917332860007
138,3312,1,633917428680372,633917432809546
139,3336,0,633917528678685,633917532855934
140,3360,1,633917628672985,633917632820539
141,3384,0,633917728668468,633917732845674
142,3408,1,633917828701143,633917832832150
143,3432,0,633917928691206,633917932852949
144,3456,1,633918028669876,633918032844503
145,3480,0,633918128678998,633918132843565
146,3504,1,633918228687237,633918232840497
147,3528,0,633918328659434,633918332841105
148,3552,1,633918428671201,633918432839908
149,3576,0,633918528651740,633918532948859
150,3600,1,633918628650419,633918632807648
151,3624,0,633918728689219,633918732832362
152,3648,1,633918828669267,633918832841051
153,3672,0,633918928676775,633918932841463
154,3696,1,633919028712783,633919032811271
155,3720,0,633919128674079,633919132817368
156,3744,1,633919228630373,633919232768904
157,3768,0,633919328702904,633919332800704
158,3792,1,633919428620125,633919432776068
159,3816,0,633919528607985,633919532820527
160,3840,1,633919628638333,633919632842264
161,3864,0,633919728605763,633919734365049
162,3888,1,633919828651630,633919832862399
163,3912,0,633919928632448,633919932810147
164,3936,1,633920028658917,633920032831408
165,3960,0,633920128645137,633920132825292
166,3984,1,633920228627957,633920232776741
167,4008,0,633920328650036,633920332751857
168,4032,1,633920428617158,633920432785657
169,4056,0,633920528617580,633920532779435
170,4080,1,633920628637118,633920632740731
171,4104,0,633920728637217,633920732767374
172,4128,1,633920828606761,633920832797391
173,4152,0,633920928583529,633920932768600
174,4176,1,633921028637734,633921032781793
175,4200,0,633921128593392,633921132763122
176,4224,1,633921228635583,633921232788796
177,4248,0,633921330252403,633921332751709
178,4272,1,633921428601343,633921432758996
179,4296,0,633921528625554,633921532753636
180,4320,1,633921628587967,633921632756651
181,4344,0,633921728642455,633921732776499
182,4368,1,633921828614081,633921833586984
183,4392,0,633921928617718,633921932793288
184,4416,1,633922028587787,633922032747626
185,4440,0,633922128591713,633922132745813
186,4464,1,633922228529769,633922232774996
187,4488,0,633922328585772,633922332763089
188,4512,1,633922428581312,633922432764395
189,4536,0,633922528588621,633922532736778
190,4560,1,633922628575665,633922632738985
