toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
3,0,633903928829177,633903975010501,46.181
4,1,633904029503148,633904076998512,47.495
5,0,633904128776366,633904175007540,46.231
6,1,633904228821942,633904281075058,52.253
7,0,633904328866694,633904375016464,46.150
8,1,633904428798563,633904476980871,48.182
9,0,633904528824576,633904578984111,50.160
10,1,633904628819310,633904680938983,52.120
11,0,633904728838158,633904778991992,50.154
12,1,633904828815826,633904880971321,52.155
13,0,633904928822482,633904978987225,50.165
14,1,633905028861639,633905081011612,52.150
15,0,633905128834009,633905161952120,33.118
16,1,633905228816234,633905264954300,36.138
17,0,633905328792591,633905361984210,33.192
18,1,633905428806340,633905464981717,36.175
19,0,633905528820313,633905562019679,33.199
20,1,633905628816903,633905664986192,36.169
21,0,633905728797815,633905761988230,33.190
22,1,633905828811393,633905864976061,36.165
23,0,633905929043631,633905961976501,32.933
24,1,633906028851634,633906064988375,36.137
25,0,633906128823672,633906162013190,33.190
26,1,633906228837469,633906264975691,36.138
27,0,633906328815570,633906362015129,33.200
28,1,633906428785290,633906464957562,36.172
29,0,633906528789247,633906561970956,33.182
30,1,633906628794766,633906664976350,36.182
31,0,633906728791091,633906761987918,33.197
32,1,633906828786035,633906864995284,36.209
33,0,633906928747313,633906962018766,33.271
34,1,633907028784916,633907064995245,36.210
35,0,633907128789400,633907162028374,33.239
36,1,633907228798285,633907265002163,36.204
37,0,633907328795945,633907362014248,33.218
38,1,633907428782989,633907464952214,36.169
39,0,633907529560721,633907561984392,32.424
40,1,633907628880352,633907665003655,36.123
41,0,633907728851322,633907762013555,33.162
42,1,633907828877134,633907865003068,36.126
43,0,633907928873556,633907962008919,33.135
44,1,633908028881776,633908064981747,36.100
45,0,633908128848559,633908161995978,33.147
46,1,633908228945190,633908265022262,36.077
47,0,633908328860167,633908362006548,33.146
48,1,633908429857897,633908468975914,39.118
49,0,633908528853859,633908561984892,33.131
50,1,633908628874015,633908664970095,36.096
51,0,633908728819614,633908761965040,33.145
52,1,633908828839613,633908864969401,36.130
53,0,633908928862535,633908961965805,33.103
54,1,633909028857321,633909064981140,36.124
55,0,633909128832207,633909162014502,33.182
56,1,633909228829392,633909265007147,36.178
57,0,633909328842653,633909361940604,33.098
58,1,633909428836626,633909469013278,40.177
59,0,633909528821955,633909566017854,37.196
60,1,633909628849188,633909668999027,40.150
61,0,633909728872663,633909765978076,37.105
