# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
0,0,1,634087315152389,634087337210980
1,24,0,634087413096995,634087417142254
2,48,1,634087513113557,634087517120187
3,72,0,634087613107717,634087617144840
4,96,1,634087713094318,634087717138267
5,120,0,634087813098238,634087817211245
6,144,1,634087913111203,634087917142299
7,168,0,634088013121952,634088017142607
8,192,1,634088113086967,634088117143134
9,216,0,634088212973077,634088217147958
10,240,1,634088314021290,634088317157463
11,264,0,634088412975003,634088417129056
12,288,1,634088512952102,634088517125415
13,312,0,634088612973880,634088617134397
14,336,1,634088713024801,634088717147940
15,360,0,634088812964032,634088817124746
16,384,1,634088912984497,634088917043295
17,408,0,634089012965142,634089017137951
18,432,1,634089112982127,634089117138231
19,456,0,634089212984442,634089217236210
20,480,1,634089312974135,634089317261505
21,504,0,634089412966304,634089418167181
22,528,1,634089512979009,634089517224850
23,552,0,634089613390429,634089617244214
24,576,1,634089712959906,634089717234642
25,600,0,634089812859635,634089817255985
26,624,1,634089912972786,634089917476640
27,648,0,634090012968781,634090017273606
28,672,1,634090121862261,634090121906516
29,696,0,634090212924176,634090217064474
30,720,1,634090312944467,634090317077626
31,744,0,634090412935862,634090417144698
32,768,1,634090512945544,634090517080055
33,792,0,634090613080562,634090617218250
34,816,1,634090713238497,634090717129316
35,840,0,634090813024306,634090817210919
36,864,1,634090913027968,634090918140819
37,888,0,634091013042117,634091017205162
38,912,1,634091113025955,634091117272466
39,936,0,634091213019940,634091217326034
40,960,1,634091313050346,634091317324632
41,984,0,634091413030010,634091418726923
42,1008,1,634091513030349,634091517294606
43,1032,0,634091613038779,634091617135119
44,1056,1,634091713022462,634091717308815
45,1080,0,634091813026650,634091817315019
46,1104,1,634091913028623,634091917253045
47,1128,0,634092013018618,634092017312436
48,1152,1,634092113129196,634092117109960
49,1176,0,634092213101571,634092217189204
50,1200,1,634092313124790,634092317131492
51,1224,0,634092413112556,634092417163550
52,1248,1,634092513127429,634092517159322
53,1272,0,634092613137973,634092617158226
54,1296,1,634092713126521,634092717226876
55,1320,0,634092813115808,634092817136843
56,1344,1,634092913096876,634092917180061
57,1368,0,634093013017107,634093017120287
58,1392,1,634093113981065,634093117154978
59,1416,0,634093212979170,634093217149692
60,1440,1,634093312948758,634093317141245
61,1464,0,634093412990685,634093417140848
62,1488,1,634093512997692,634093517144266
63,1512,0,634093612984819,634093617151687
64,1536,1,634093712982151,634093717118104
65,1560,0,634093812989111,634093817117145
66,1584,1,634093913012164,634093917105568
67,1608,0,634094012949371,634094017118869
68,1632,1,634094112926954,634094117129332
69,1656,0,634094212964775,634094217329177
70,1680,1,634094312965625,634094317102501
71,1704,0,634094413682847,634094417119141
72,1728,1,634094512938403,634094517156742
73,1752,0,634094612961185,634094617140067
74,1776,1,634094712917674,634094717136848
75,1800,0,634094812933448,634094817139528
76,1824,1,634094930165098,634094930273712
77,1848,0,634095012952583,634095017105999
78,1872,1,634095112962537,634095117088185
79,1896,0,634095212951926,634095217076504
80,1920,1,634095312949432,634095317064484
81,1944,0,634095412925998,634095417118383
82,1968,1,634095512941504,634095517105257
83,1992,0,634095612936972,634095617088497
84,2016,1,634095712920416,634095718120439
85,2040,0,634095812937392,634095817079139
86,2064,1,634095912938660,634095917155320
87,2088,0,634096012887368,634096017258971
88,2112,1,634096112938306,634096118672759
89,2136,0,634096212951032,634096217077389
90,2160,1,634096314318491,634096317058404
91,2184,0,634096412927830,634096417091215
92,2208,1,634096512866764,634096517085386
93,2232,0,634096612933537,634096617092211
94,2256,1,634096712943499,634096717126151
95,2280,0,634096812929826,634096817076505
96,2304,1,634096912929548,634096917213674
97,2328,0,634097012946405,634097017206921
98,2352,1,634097112866570,634097117217157
99,2376,0,634097212954447,634097217235783
100,2400,1,634097312941453,634097317195113
101,2424,0,634097412933567,634097417220761
102,2448,1,634097512940148,634097517798436
103,2472,0,634097612908353,634097617075851
104,2496,1,634097713603724,634097717060382
105,2520,0,634097813509533,634097817131673
106,2544,1,634097912899329,634097917075901
107,2568,0,634098012895189,634098017082737
108,2592,1,634098112902486,634098117063462
109,2616,0,634098212920904,634098217106102
110,2640,1,634098312931200,634098317072353
111,2664,0,634098412901387,634098417061619
112,2688,1,634098512929582,634098517038584
113,2712,0,634098612915108,634098617102073
114,2736,1,634098712883773,634098717076417
115,2760,0,634098812880697,634098817184258
116,2784,1,634098912869743,634098917162711
117,2808,0,634099012889066,634099017162277
118,2832,1,634099112908656,634099117182685
119,2856,0,634099212897362,634099217061696
120,2880,1,634099312856361,634099318333528
121,2904,0,634099412901389,634099417183109
122,2928,1,634099513808131,634099517163438
123,2952,0,634099612848068,634099617147599
124,2976,1,634099725801554,634099725848270
125,3000,0,634099812976434,634099817036811
126,3024,1,634099913023343,634099917073969
127,3048,0,634100012864919,634100016989635
128,3072,1,634100113014659,634100117029862
129,3096,0,634100212954512,634100216986106
130,3120,1,634100313023315,634100317259999
131,3144,0,634100412987835,634100417017356
132,3168,1,634100513357419,634100517056236
133,3192,0,634100612996696,634100617013828
134,3216,1,634100713480770,634100717029937
135,3240,0,634100812884432,634100816987028
136,3264,1,634100912870806,634100916983437
137,3288,0,634101012856084,634101017009896
138,3312,1,634101112872955,634101117010258
139,3336,0,634101212861328,634101216971931
140,3360,1,634101312853136,634101316984998
141,3384,0,634101412847015,634101416991843
142,3408,1,634101512838569,634101516969921
143,3432,0,634101612836103,634101617008571
144,3456,1,634101712803820,634101717124246
145,3480,0,634101812799017,634101817085855
146,3504,1,634101912783163,634101917087296
147,3528,0,634102012752165,634102017067542
148,3552,1,634102112825561,634102117089838
149,3576,0,634102212758520,634102217062314
150,3600,1,634102312766916,634102317080332
151,3624,0,634102412735876,634102417074277
152,3648,1,634102512792043,634102517095720
153,3672,0,634102612896269,634102616934619
154,3696,1,634102712904022,634102716927969
155,3720,0,634102812887282,634102816927717
156,3744,1,634102912917465,634102916941580
157,3768,0,634103012883925,634103016914742
158,3792,1,634103112880236,634103116917235
159,3816,0,634103212882273,634103216934892
160,3840,1,634103312877861,634103316915612
161,3864,0,634103412788983,634103416931941
162,3888,1,634103512890340,634103516922816
163,3912,0,634103612748252,634103616920496
164,3936,1,634103712788037,634103716928153
165,3960,0,634103812769834,634103817566167
166,3984,1,634103912750656,634103916919034
167,4008,0,634104013062021,634104016880691
168,4032,1,634104112748941,634104116883723
169,4056,0,634104212743127,634104216875612
170,4080,1,634104312738571,634104316894928
171,4104,0,634104412738239,634104416898742
172,4128,1,634104525734695,634104525793220
173,4152,0,634104612876802,634104616897217
174,4176,1,634104712855627,634104716900301
175,4200,0,634104812821851,634104816887890
176,4224,1,634104912848336,634104916918123
177,4248,0,634105012861706,634105016906618
178,4272,1,634105112869230,634105117305535
179,4296,0,634105212860999,634105216897251
180,4320,1,634105313724135,634105316883678
181,4344,0,634105412829767,634105416871473
