toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
3,0,634087613107717,634087642219481,29.112
4,1,634087713094318,634087745242699,32.148
5,0,634087813098238,634087842215298,29.117
6,1,634087913111203,634087945257859,32.147
7,0,634088013121952,634088042245341,29.123
8,1,634088113086967,634088145236989,32.150
9,0,634088212973077,634088242208095,29.235
10,1,634088314021290,634088345250122,31.229
11,0,634088412975003,634088442241964,29.267
12,1,634088512952102,634088545246097,32.294
13,0,634088612973880,634088642240337,29.266
14,1,634088713024801,634088745138885,32.114
15,0,634088812964032,634088842237731,29.274
16,1,634088912984497,634088945246149,32.262
17,0,634089012965142,634089042222846,29.258
18,1,634089112982127,634089145225803,32.244
19,0,634089212984442,634089242245486,29.261
20,1,634089312974135,634089345246731,32.273
21,0,634089412966304,634089442258001,29.292
22,1,634089512979009,634089545256797,32.278
23,0,634089613390429,634089642238421,28.848
24,1,634089712959906,634089745252941,32.293
25,0,634089812859635,634089842234175,29.375
26,1,634089912972786,634089945219374,32.247
27,0,634090012968781,634090042219054,29.250
28,1,634090121862261,634090145231254,23.369
29,0,634090212924176,634090242277674,29.353
30,1,634090312944467,634090345236666,32.292
31,0,634090412935862,634090442251506,29.316
32,1,634090512945544,634090545222877,32.277
33,0,634090613080562,634090642182449,29.102
34,1,634090713238497,634090745211830,31.973
35,0,634090813024306,634090842215524,29.191
36,1,634090913027968,634090945195241,32.167
37,0,634091013042117,634091042196921,29.155
38,1,634091113025955,634091145165393,32.139
39,0,634091213019940,634091242174817,29.155
40,1,634091313050346,634091345085250,32.035
41,0,634091413030010,634091442193633,29.164
42,1,634091513030349,634091544746457,31.716
43,0,634091613038779,634091642219579,29.181
44,1,634091713022462,634091744719959,31.697
45,0,634091813026650,634091842247808,29.221
46,1,634091913028623,634091944728498,31.700
47,0,634092013018618,634092042228726,29.210
48,1,634092113129196,634092144262419,31.133
49,0,634092213101571,634092242223376,29.122
50,1,634092313124790,634092344198268,31.073
51,0,634092413112556,634092442204684,29.092
52,1,634092513127429,634092544228258,31.101
53,0,634092613137973,634092642269413,29.131
54,1,634092713126521,634092744258090,31.132
55,0,634092813115808,634092842252552,29.137
56,1,634092913096876,634092944242637,31.146
57,0,634093013017107,634093042248932,29.232
58,1,634093113981065,634093144239192,30.258
59,0,634093212979170,634093242248648,29.269
60,1,634093312948758,634093344197549,31.249
61,0,634093412990685,634093442228277,29.238
