# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
0,0,1,634492679539408,634492701779326
1,24,0,634492825889333,634492826345834
2,48,1,634492925733768,634492926247701
3,72,0,634493025734190,634493026398768
4,96,1,634493125711474,634493126110749
5,120,0,634493227029166,634493227141063
6,144,1,634493327084694,634493327408596
7,168,0,634493427086289,634493427304866
8,192,1,634493527091761,634493527364483
9,216,0,634493627137909,634493627542530
10,240,1,634493727095654,634493727373212
11,264,0,634493827127843,634493827472320
12,288,1,634493927139456,634493927537021
13,312,0,634494027068459,634494027208159
14,336,1,634494127131263,634494127532013
15,360,0,634494227049414,634494227228021
16,384,1,634494327076066,634494327280633
17,408,0,634494427140179,634494427594987
18,432,1,634494527144309,634494527590823
19,456,0,634494627118300,634494627435077
20,480,1,634494727132768,634494727455376
21,504,0,634494826799292,634494827064380
22,528,1,634494926708363,634494926935033
23,552,0,634495026779885,634495027085280
24,576,1,634495126785308,634495127065901
25,600,0,634495226717493,634495226853378
26,624,1,634495326734152,634495326932369
27,648,0,634495426747129,634495426929134
28,672,1,634495526746162,634495526929374
29,696,0,634495626759031,634495626991444
30,720,1,634495726748732,634495727032824
31,744,0,634495826755332,634495827019049
32,768,1,634495926807476,634495927088079
33,792,0,634496026750505,634496027044898
34,816,1,634496126787760,634496127234815
35,840,0,634496226802526,634496227223239
36,864,1,634496326723497,634496326865649
37,888,0,634496426748719,634496426964246
38,912,1,634496526746072,634496526953100
39,936,0,634496626767179,634496627094315
40,960,1,634496726418481,634496726776264
41,984,0,634496826431250,634496826843233
42,1008,1,634496926429889,634496926843856
43,1032,0,634497026441489,634497026857280
44,1056,1,634497126375751,634497126524034
45,1080,0,634497226367764,634497226571860
46,1104,1,634497326384738,634497326580835
47,1128,0,634497426341595,634497426537332
48,1152,1,634497526384066,634497526584072
49,1176,0,634497626381917,634497626682111
50,1200,1,634497726112496,634497726333088
51,1224,0,634497826101332,634497826329412
52,1248,1,634497926117407,634497926340380
53,1272,0,634498026108541,634498026330240
54,1296,1,634498126116220,634498126339865
55,1320,0,634498226104972,634498226500558
56,1344,1,634498326183849,634498326784511
57,1368,0,634498426119887,634498426513623
58,1392,1,634498526112956,634498526322979
59,1416,0,634498626035092,634498626293928
60,1440,1,634498726088563,634498726617705
61,1464,0,634498826195517,634498826909305
62,1488,1,634498926087489,634498926663419
63,1512,0,634499026072243,634499026485792
64,1536,1,634499126108199,634499126684392
65,1560,0,634499225982761,634499226303868
66,1584,1,634499326070163,634499326420570
67,1608,0,634499426105392,634499426991588
68,1632,1,634499526099971,634499526714609
69,1656,0,634499626471436,634499627177492
70,1680,1,634499726440324,634499726864972
71,1704,0,634499826432896,634499826847825
72,1728,1,634499926442666,634499926853403
73,1752,0,634500026452867,634500026862803
74,1776,1,634500126405235,634500126846743
75,1800,0,634500226348949,634500226519810
76,1824,1,634500326368646,634500326572481
77,1848,0,634500426435939,634500426848947
78,1872,1,634500526441489,634500526854309
79,1896,0,634500626441484,634500626861860
80,1920,1,634500726452723,634500726865633
81,1944,0,634500826413552,634500826713224
82,1968,1,634500926419557,634500926722158
83,1992,0,634501026405893,634501026712325
84,2016,1,634501126417807,634501126713957
85,2040,0,634501226403446,634501226656786
86,2064,1,634501326444207,634501326857709
87,2088,0,634501426444257,634501426904978
88,2112,1,634501526333462,634501526754140
89,2136,0,634501626357604,634501626786189
90,2160,1,634501726333079,634501726741496
91,2184,0,634501826275366,634501826498878
92,2208,1,634501926272454,634501926485797
93,2232,0,634502026271828,634502026489099
94,2256,1,634502126277033,634502126504253
95,2280,0,634502226278370,634502226503933
96,2304,1,634502326275932,634502326495786
97,2328,0,634502426317218,634502426675232
98,2352,1,634502526177549,634502526535383
99,2376,0,634502626202324,634502626556545
100,2400,1,634502726174656,634502726523166
101,2424,0,634502826224218,634502826633024
102,2448,1,634502926241547,634502926688102
103,2472,0,634503026146974,634503026442855
104,2496,1,634503126157422,634503126462961
105,2520,0,634503226153602,634503226345358
106,2544,1,634503326116313,634503326298080
107,2568,0,634503426219003,634503426575401
108,2592,1,634503526175181,634503526525773
109,2616,0,634503626113188,634503626509662
110,2640,1,634503726160451,634503726510859
111,2664,0,634503826125523,634503826483058
112,2688,1,634503926129559,634503926540854
113,2712,0,634504026124250,634504026320399
114,2736,1,634504126158261,634504126545838
115,2760,0,634504226116966,634504226620399
116,2784,1,634504326095911,634504326407235
117,2808,0,634504426154936,634504426456018
118,2832,1,634504526156954,634504526452976
119,2856,0,634504626183572,634504626493071
120,2880,1,634504726152742,634504726456302
121,2904,0,634504826165023,634504826470802
122,2928,1,634504926143183,634504926444036
123,2952,0,634505026177100,634505026585819
124,2976,1,634505126193126,634505126596877
125,3000,0,634505226209164,634505226686524
126,3024,1,634505326168387,634505326567006
127,3048,0,634505426381660,634505426792693
128,3072,1,634505526365321,634505526664694
129,3096,0,634505626372285,634505626673790
130,3120,1,634505726371054,634505726666421
131,3144,0,634505826347822,634505826663911
132,3168,1,634505926384524,634505926684863
133,3192,0,634506026369297,634506026679686
134,3216,1,634506126405040,634506126818671
135,3240,0,634506226394985,634506226723980
136,3264,1,634506326144476,634506326445921
137,3288,0,634506426158147,634506426458123
138,3312,1,634506526120900,634506526417820
139,3336,0,634506626112234,634506626421649
140,3360,1,634506726166058,634506726537293
141,3384,0,634506826131638,634506826418867
142,3408,1,634506926163059,634506926509195
143,3432,0,634507026159304,634507026510526
144,3456,1,634507126175797,634507126566930
145,3480,0,634507226127043,634507226509607
146,3504,1,634507325772092,634507326203165
147,3528,0,634507425780584,634507426096820
148,3552,1,634507525789760,634507526117024
149,3576,0,634507625785401,634507626103756
150,3600,1,634507725791742,634507726112561
151,3624,0,634507825817351,634507826256624
152,3648,1,634507925781642,634507926107828
153,3672,0,634508025787461,634508026110148
154,3696,1,634508125779458,634508126108643
155,3720,0,634508225753248,634508225979224
156,3744,1,634508325815677,634508325966283
157,3768,0,634508425866255,634508426212949
158,3792,1,634508525859942,634508526210633
159,3816,0,634508625848217,634508626193575
160,3840,1,634508725863916,634508726205797
161,3864,0,634508825855111,634508826203461
162,3888,1,634508925859023,634508926203022
163,3912,0,634509025847957,634509026202135
164,3936,1,634509125847571,634509126195204
165,3960,0,634509226042541,634509226238652
166,3984,1,634509326073510,634509326349848
167,4008,0,634509426104514,634509426543935
168,4032,1,634509526112803,634509526462506
169,4056,0,634509626110314,634509626464524
170,4080,1,634509726073760,634509726439061
171,4104,0,634509826034591,634509826330977
172,4128,1,634509926085127,634509926383678
173,4152,0,634510026095898,634510026398552
174,4176,1,634510126120547,634510126533192
175,4200,0,634510226259320,634510226559386
176,4224,1,634510326205269,634510326395883
177,4248,0,634510426227472,634510426500641
178,4272,1,634510526226996,634510526500547
179,4296,0,634510626243599,634510626558132
180,4320,1,634510726250720,634510726600717
181,4344,0,634510826273510,634510826718883
182,4368,1,634510926278596,634510926710800
183,4392,0,634511026263785,634511026718237
184,4416,1,634511126288988,634511126761585
185,4440,0,634511226343514,634511226947878
186,4464,1,634511326256156,634511326557221
187,4488,0,634511426249186,634511426530561
188,4512,1,634511526249333,634511526543746
189,4536,0,634511626291404,634511626702833
190,4560,1,634511726292159,634511726711499
191,4584,0,634511826293794,634511826709763
192,4608,1,634511926292774,634511926706203
193,4632,0,634512026256168,634512026557942
194,4656,1,634512130069193,634512130374141
195,4680,0,634512230012346,634512230211357
196,4704,1,634512330065431,634512330404645
197,4728,0,634512430047799,634512430413848
198,4752,1,634512530044167,634512530415931
199,4776,0,634512630101356,634512630517081
200,4800,1,634512730088723,634512730499114
201,4824,0,634512830091250,634512830551869
202,4848,1,634512930062938,634512930369429
203,4872,0,634513030074380,634513030374807
204,4896,1,634513130166735,634513130536415
205,4920,0,634513230159338,634513230572916
206,4944,1,634513330068011,634513330276850
207,4968,0,634513430103504,634513430346714
208,4992,1,634513530144066,634513530500544
209,5016,0,634513630163478,634513630524851
210,5040,1,634513730114514,634513730484430
211,5064,0,634513830142175,634513830494138
212,5088,1,634513930168559,634513930519428
213,5112,0,634514029926411,634514030129839
214,5136,1,634514129958701,634514130256136
215,5160,0,634514229929172,634514230164570
216,5184,1,634514329981009,634514330332464
217,5208,0,634514429983305,634514430338620
218,5232,1,634514529966802,634514530329582
219,5256,0,634514629994865,634514630541598
220,5280,1,634514730023109,634514730437358
221,5304,0,634514829998234,634514830429757
222,5328,1,634514930024384,634514930498937
223,5352,0,634515030346814,634515030759580
224,5376,1,634515130350610,634515130760842
225,5400,0,634515230294063,634515230547779
226,5424,1,634515330307933,634515330515364
227,5448,0,634515430346674,634515430752625
228,5472,1,634515530309864,634515530605008
229,5496,0,634515630314555,634515630622757
230,5520,1,634515730327304,634515730661728
231,5544,0,634515830339868,634515830639133
232,5568,1,634515930308678,634515931439560
233,5592,0,634516030129876,634516030434184
234,5616,1,634516130121203,634516130417326
235,5640,0,634516230123241,634516230432069
236,5664,1,634516330157295,634516330496903
237,5688,0,634516430151647,634516430485036
238,5712,1,634516530130205,634516530462745
239,5736,0,634516630095725,634516630325735
240,5760,1,634516730129978,634516730422726
241,5784,0,634516830124203,634516830425986
242,5808,1,634516930084688,634516930421546
243,5832,0,634517030095842,634517030459220
244,5856,1,634517130088871,634517130445035
245,5880,0,634517230065909,634517230382994
246,5904,1,634517330061213,634517330254085
247,5928,0,634517430100212,634517430501463
248,5952,1,634517530092609,634517530385994
249,5976,0,634517630095144,634517630389989
250,6000,1,634517730100280,634517730405712
251,6024,0,634517830071036,634517830391115
252,6048,1,634517930098877,634517930433228
253,6072,0,634518030101987,634518030474933
254,6096,1,634518130088744,634518130389385
255,6120,0,634518230052401,634518230148619
256,6144,1,634518330156483,634518330512519
257,6168,0,634518430128173,634518430454337
258,6192,1,634518530100468,634518530408369
259,6216,0,634518630122449,634518630534011
260,6240,1,634518730138191,634518730456704
261,6264,0,634518830144066,634518831556999
262,6288,1,634518930205205,634518930556029
263,6312,0,634519030215416,634519030576266
264,6336,1,634519130201962,634519130531680
265,6360,0,634519230135589,634519230232830
266,6384,1,634519330143417,634519330291987
267,6408,0,634519430227715,634519430623509
268,6432,1,634519530147570,634519530294007
269,6456,0,634519630216406,634519630578549
270,6480,1,634519730223202,634519730647781
271,6504,0,634519830168364,634519830551072
272,6528,1,634519930157115,634519930528601
273,6552,0,634520030161395,634520030527972
274,6576,1,634520130159237,634520130595870
275,6600,0,634520230172747,634520230554709
276,6624,1,634520330091182,634520330231646
277,6648,0,634520430174767,634520430573850
278,6672,1,634520530176224,634520530579124
279,6696,0,634520630177733,634520630584179
280,6720,1,634520730201532,634520730610753
281,6744,0,634520830073327,634520830244370
282,6768,1,634520930100746,634520930408030
283,6792,0,634521030125995,634521030498597
284,6816,1,634521130128633,634521130495053
285,6840,0,634521230133561,634521230474854
286,6864,1,634521330121162,634521330480014
287,6888,0,634521430126167,634521430479429
288,6912,1,634521530120915,634521530463088
289,6936,0,634521630117777,634521630468399
290,6960,1,634521730130023,634521730490716
291,6984,0,634521830141220,634521830497977
292,7008,1,634521930128192,634521930496666
293,7032,0,634522030139233,634522030491783
294,7056,1,634522130127868,634522130555314
295,7080,0,634522230139085,634522230523821
296,7104,1,634522330143145,634522330498249
297,7128,0,634522430141086,634522430508825
298,7152,1,634522530138759,634522530494251
299,7176,0,634522630105774,634522630462899
