toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
3,0,634493025734190,634493035465695,9.732
4,1,634493125711474,634493138449039,12.738
5,0,634493227029166,634493235396503,8.367
6,1,634493327084694,634493338442872,11.358
7,0,634493427086289,634493435426010,8.340
8,1,634493527091761,634493538418877,11.327
9,0,634493627137909,634493635467778,8.330
10,1,634493727095654,634493738402759,11.307
11,0,634493827127843,634493835461468,8.334
12,1,634493927139456,634493938506698,11.367
13,0,634494027068459,634494035377880,8.309
14,1,634494127131263,634494138483014,11.352
15,0,634494227049414,634494235400056,8.351
16,1,634494327076066,634494338459822,11.384
17,0,634494427140179,634494435457200,8.317
18,1,634494527144309,634494538444709,11.300
19,0,634494627118300,634494635514222,8.396
20,1,634494727132768,634494738404411,11.272
21,0,634494826799292,634494835454513,8.655
22,1,634494926708363,634494938459970,11.752
23,0,634495026779885,634495035444396,8.665
24,1,634495126785308,634495138469655,11.684
25,0,634495226717493,634495235372994,8.656
26,1,634495326734152,634495338387642,11.653
27,0,634495426747129,634495435434834,8.688
28,1,634495526746162,634495538380079,11.634
29,0,634495626759031,634495635419072,8.660
30,1,634495726748732,634495738439920,11.691
31,0,634495826755332,634495835418102,8.663
32,1,634495926807476,634495938427747,11.620
33,0,634496026750505,634496035380002,8.629
34,1,634496126787760,634496138498163,11.710
35,0,634496226802526,634496235418255,8.616
36,1,634496326723497,634496338431517,11.708
37,0,634496426748719,634496435422930,8.674
38,1,634496526746072,634496538424365,11.678
39,0,634496626767179,634496635421928,8.655
40,1,634496726418481,634496738436585,12.018
41,0,634496826431250,634496835458197,9.027
42,1,634496926429889,634496938556975,12.127
43,0,634497026441489,634497035413952,8.972
44,1,634497126375751,634497138395951,12.020
45,0,634497226367764,634497235398165,9.030
46,1,634497326384738,634497338411397,12.027
47,0,634497426341595,634497435415735,9.074
48,1,634497526384066,634497538396901,12.013
49,0,634497626381917,634497635434714,9.053
50,1,634497726112496,634497738436599,12.324
51,0,634497826101332,634497835455163,9.354
52,1,634497926117407,634497938428601,12.311
53,0,634498026108541,634498035411205,9.303
54,1,634498126116220,634498138415601,12.299
55,0,634498226104972,634498235361391,9.256
56,1,634498326183849,634498338517734,12.334
57,0,634498426119887,634498435442365,9.322
58,1,634498526112956,634498538439998,12.327
59,0,634498626035092,634498635442718,9.408
60,1,634498726088563,634498738509365,12.421
61,0,634498826195517,634498835543040,9.348
62,1,634498926087489,634498938533569,12.446
63,0,634499026072243,634499035521795,9.450
64,1,634499126108199,634499138508636,12.400
65,0,634499225982761,634499235381576,9.399
66,1,634499326070163,634499338472783,12.403
67,0,634499426105392,634499435553951,9.449
68,1,634499526099971,634499538542872,12.443
69,0,634499626471436,634499635549155,9.078
70,1,634499726440324,634499738533997,12.094
71,0,634499826432896,634499835556260,9.123
72,1,634499926442666,634499938487023,12.044
73,0,634500026452867,634500035554453,9.102
