# present_mode=immediate toggle_frames=400 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
0,0,1,633763329264274,633763351993154
1,400,0,633763469142274,633763469418303
2,800,1,633763574766364,633763575008386
3,1200,0,633763677979766,633763678216459
4,1600,1,633763778117611,633763778348213
5,2000,0,633763879140045,633763879199217
6,2400,1,633763979344264,633763979574014
7,2800,0,633764080471246,633764080699606
8,3200,1,633764179756732,633764179985159
9,3600,0,633764280684840,633764280914220
10,4000,1,633764382373688,633764382419022
11,4400,0,633764481663611,633764481866103
12,4800,1,633764582462704,633764582693389
13,5200,0,633764682418890,633764682650464
14,5600,1,633764782728243,633764782960993
15,6000,0,633764882812916,633764883044212
16,6400,1,633764984247666,633764984477561
17,6800,0,633765085300141,633765085531008
18,7200,1,633765185543017,633765185777111
19,7600,0,633765286506724,633765286739235
20,8000,1,633765387561562,633765387787817
21,8400,0,633765487642364,633765487872781
22,8800,1,633765588482777,633765588711314
23,9200,0,633765688627769,633765688856964
24,9600,1,633765789422722,633765789643267
25,10000,0,633765889929731,633765890169166
26,10400,1,633765991506070,633765991737072
27,10800,0,633766092600298,633766092830407
28,11200,1,633766193574154,633766193804862
29,11600,0,633766293890892,633766294129732
30,12000,1,633766394706176,633766394960647
31,12400,0,633766494917605,633766495150204
32,12800,1,633766595815842,633766596181122
33,13200,0,633766696115420,633766696348772
34,13600,1,633766795678187,633766795909287
35,14000,0,633766896219786,633766896462010
36,14400,1,633766998427690,633766998473342
37,14800,0,633767098109150,633767098341915
38,15200,1,633767198762232,633767198994025
39,15600,0,633767298874910,633767299105049
40,16000,1,633767399617616,633767399852196
41,16400,0,633767500375593,633767500610323
42,16800,1,633767600322649,633767600555927
43,17200,0,633767700707988,633767700930102
44,17600,1,633767800796598,633767801027266
45,18000,0,633767901850626,633767902080519
46,18400,1,633768003307598,633768003514758
47,18800,0,633768103021110,633768103251446
48,19200,1,633768203467939,633768203699505
49,19600,0,633768302958650,633768303185503
50,20000,1,633768403976756,633768404209256
51,20400,0,633768504489389,633768504746332
52,20800,1,633768604493699,633768604724590
53,21200,0,633768704508188,633768704740509
54,21600,1,633768804440809,633768806383188
55,22000,0,633768904261959,633768904491858
56,22400,1,633769005932657,633769006164634
57,22800,0,633769105821722,633769106052640
58,23200,1,633769206626618,633769206856578
59,23600,0,633769306505713,633769306767631
60,24000,1,633769407285129,633769407490609
61,24400,0,633769508353370,633769508584983
62,24800,1,633769608389474,633769608620130
63,25200,0,633769708644267,633769708874449
