toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
3,0,633763677979766,633763693964016,15.984
4,1,633763778117611,633763796953924,18.836
5,0,633763879140045,633763897900916,18.761
6,1,633763979344264,633764000932285,21.588
7,0,633764080471246,633764097957703,17.486
8,1,633764179756732,633764200949461,21.193
9,0,633764280684840,633764297990078,17.305
10,1,633764382373688,633764400961151,18.587
11,0,633764481663611,633764497954371,16.291
12,1,633764582462704,633764600933755,18.471
13,0,633764682418890,633764697932107,15.513
14,1,633764782728243,633764800956049,18.228
15,0,633764882812916,633764898024239,15.211
16,1,633764984247666,633765000964900,16.717
17,0,633765085300141,633765097954291,12.654
18,1,633765185543017,633765200966527,15.424
19,0,633765286506724,633765297956653,11.450
20,1,633765387561562,633765400960477,13.399
21,0,633765487642364,633765497941523,10.299
22,1,633765588482777,633765600956935,12.474
23,0,633765688627769,633765697959747,9.332
24,1,633765789422722,633765817921230,28.499
25,0,633765889929731,633765914954039,25.024
26,1,633765991506070,633766017964814,26.459
27,0,633766092600298,633766114931717,22.331
28,1,633766193574154,633766217931091,24.357
29,0,633766293890892,633766314954875,21.064
30,1,633766394706176,633766417950283,23.244
31,0,633766494917605,633766514956378,20.039
32,1,633766595815842,633766617911603,22.096
33,0,633766696115420,633766714936414,18.821
34,1,633766795678187,633766817945760,22.268
35,0,633766896219786,633766914969860,18.750
36,1,633766998427690,633767017889406,19.462
37,0,633767098109150,633767114958724,16.850
38,1,633767198762232,633767217952103,19.190
39,0,633767298874910,633767314919114,16.044
40,1,633767399617616,633767417825956,18.208
41,0,633767500375593,633767514921724,14.546
42,1,633767600322649,633767621887557,21.565
43,0,633767700707988,633767714959038,14.251
44,1,633767800796598,633767817800878,17.004
45,0,633767901850626,633767915009070,13.158
46,1,633768003307598,633768017756520,14.449
47,0,633768103021110,633768114914303,11.893
48,1,633768203467939,633768217651365,14.183
49,0,633768302958650,633768314929751,11.971
50,1,633768403976756,633768417170414,13.194
51,0,633768504489389,633768514952532,10.463
52,1,633768604493699,633768621962280,17.469
53,0,633768704508188,633768714924966,10.417
54,1,633768804440809,633768816995342,12.555
55,0,633768904261959,633768914982780,10.721
56,1,633769005932657,633769016956639,11.024
57,0,633769105821722,633769118959482,13.138
58,1,633769206626618,633769221917165,15.291
59,0,633769306505713,633769318952716,12.447
60,1,633769407285129,633769421963341,14.678
61,0,633769508353370,633769518905972,10.553
62,1,633769608389474,633769621900882,13.511
63,0,633769708644267,633769718926898,10.283
64,1,633769808935246,633769821951347,13.016
65,0,633769909117558,633769918944209,9.827
66,1,633770011216953,633770037953174,26.736
67,0,633770111193856,633770135925629,24.732
68,1,633770211952727,633770237954717,26.002
69,0,633770312919197,633770335951123,23.032
70,1,633770412867841,633770437956270,25.088
71,0,633770513496914,633770535935116,22.438
72,1,633770613281591,633770637924010,24.642
73,0,633770713824152,633770735956426,22.132
74,1,633770814193617,633770837961430,23.768
75,0,633770914223831,633770935969410,21.746
76,1,633771015455197,633771037924649,22.469
77,0,633771115271107,633771135939638,20.669
78,1,633771216023389,633771237918234,21.895
79,0,633771316820162,633771335922926,19.103
80,1,633771416636939,633771437925444,21.289
81,0,633771517324568,633771535961778,18.637
82,1,633771617255260,633771637956514,20.701
83,0,633771717434648,633771735957099,18.522
84,1,633771818195703,633771837962868,19.767
85,0,633771918009240,633771935991119,17.982
86,1,633772019109417,633772037955163,18.846
87,0,633772119920660,633772135991906,16.071
88,1,633772220016853,633772237948010,17.931
89,0,633772320687073,633772335968936,15.282
90,1,633772420802582,633772437967367,17.165
91,0,633772521412760,633772535988707,14.576
92,1,633772621466964,633772637980268,16.513
