# present_mode=immediate toggle_frames=400 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
0,0,1,634140943111663,634140965187633
1,400,0,634141063438490,634141063645314
2,800,1,634141155793433,634141155927185
3,1200,0,634141244247018,634141244446565
4,1600,1,634141331094672,634141331291695
5,2000,0,634141417402297,634141417599123
6,2400,1,634141503989776,634141504186565
7,2800,0,634141590412844,634141590635791
8,3200,1,634141676356398,634141676555677
9,3600,0,634141762380034,634141762595118
10,4000,1,634141849039483,634141849238024
11,4400,0,634141936693869,634141936925787
12,4800,1,634142023920612,634142024146780
13,5200,0,634142110123767,634142110321363
14,5600,1,634142196219835,634142196419570
15,6000,0,634142282970793,634142283169844
16,6400,1,634142369619199,634142369818038
17,6800,0,634142456549078,634142456753961
18,7200,1,634142543401218,634142543600318
19,7600,0,634142630318834,634142630518164
20,8000,1,634142718594792,634142718650977
21,8400,0,634142804823292,634142805025162
22,8800,1,634142891295077,634142891493308
23,9200,0,634142978972792,634142979173896
24,9600,1,634143065612740,634143065812127
25,10000,0,634143152823819,634143153022961
26,10400,1,634143239461541,634143239657578
27,10800,0,634143326139459,634143326338646
28,11200,1,634143412864199,634143413063845
29,11600,0,634143499835432,634143500031105
30,12000,1,634143587628348,634143587827563
31,12400,0,634143674769795,634143674931548
32,12800,1,634143761512127,634143761708497
33,13200,0,634143848798399,634143848998779
34,13600,1,634143936186551,634143936384297
35,14000,0,634144023103117,634144023301541
36,14400,1,634144109221819,634144109421474
37,14800,0,634144195797614,634144195998338
38,15200,1,634144282594549,634144282795457
39,15600,0,634144370691251,634144370734040
40,16000,1,634144457189089,634144457426763
41,16400,0,634144543436691,634144543631617
42,16800,1,634144629992919,634144630193430
43,17200,0,634144717012349,634144717235192
44,17600,1,634144803282112,634144803482352
45,18000,0,634144890718329,634144890974920
46,18400,1,634144978013466,634144978208135
47,18800,0,634145064571596,634145064775769
48,19200,1,634145151911667,634145152116165
49,19600,0,634145237936103,634145238135897
50,20000,1,634145324884648,634145325084494
51,20400,0,634145411386651,634145411585787
52,20800,1,634145497727687,634145497926149
53,21200,0,634145584186817,634145584383145
54,21600,1,634145670881506,634145671080982
55,22000,0,634145758228743,634145758428201
56,22400,1,634145846613053,634145846812182
57,22800,0,634145933670329,634145933870921
58,23200,1,634146019892158,634146020092323
59,23600,0,634146106321664,634146106521446
60,24000,1,634146193757532,634146193957348
61,24400,0,634146281172690,634146281370674
62,24800,1,634146367447011,634146367646512
63,25200,0,634146453847875,634146454046689
64,25600,1,634146540475324,634146540646333
65,26000,0,634146628014750,634146628211490
66,26400,1,634146715018880,634146715216038
67,26800,0,634146802831039,634146803031542
68,27200,1,634146889386126,634146889585052
69,27600,0,634146976353678,634146976551816
70,28000,1,634147063009397,634147063202498
71,28400,0,634147149633594,634147149833153
72,28800,1,634147235605976,634147235804776
73,29200,0,634147323747070,634147323792547
74,29600,1,634147409926386,634147410127354
75,30000,0,634147496511987,634147496774942
76,30400,1,634147582396129,634147582730585
77,30800,0,634147669758082,634147669959377
78,31200,1,634147757369503,634147757567244
79,31600,0,634147844085799,634147844283526
80,32000,1,634147930026761,634147930276447
81,32400,0,634148017485972,634148017684088
82,32800,1,634148105092379,634148105257190
83,33200,0,634148191583889,634148191792445
84,33600,1,634148278391419,634148278590862
85,34000,0,634148364759971,634148364958916
86,34400,1,634148451726708,634148451925995
87,34800,0,634148538250112,634148538449199
88,35200,1,634148625086419,634148625285875
89,35600,0,634148712772582,634148712975320
90,36000,1,634148801276914,634148801478125
91,36400,0,634148887748483,634148887947286
92,36800,1,634148974021966,634148974219741
93,37200,0,634149060659775,634149060857862
94,37600,1,634149146567691,634149146758186
95,38000,0,634149234050739,634149234248058
96,38400,1,634149321462798,634149321661963
97,38800,0,634149408083572,634149408281069
98,39200,1,634149494164682,634149496036345
99,39600,0,634149581705430,634149581902933
100,40000,1,634149668840166,634149669041254
101,40400,0,634149757873154,634149758072329
102,40800,1,634149844876493,634149845075534
103,41200,0,634149931338837,634149931538765
104,41600,1,634150017460391,634150017658626
105,42000,0,634150104402984,634150104602499
106,42400,1,634150191935721,634150192137069
107,42800,0,634150278925461,634150279154771
108,43200,1,634150365213135,634150365410372
109,43600,0,634150452907008,634150453107767
110,44000,1,634150539830233,634150540030476
111,44400,0,634150626686046,634150626885272
112,44800,1,634150716993138,634150717178375
113,45200,0,634150802895610,634150803093580
114,45600,1,634150889960401,634150890158938
115,46000,0,634150976780863,634150976984900
116,46400,1,634151063398640,634151063595674
117,46800,0,634151150222921,634151150424832
118,47200,1,634151236880284,634151237079991
119,47600,0,634151323542002,634151323740268
120,48000,1,634151410035715,634151410234904
121,48400,0,634151496174138,634151496377111
122,48800,1,634151583690752,634151583934982
123,49200,0,634151672287465,634151672481847
124,49600,1,634151759609440,634151759808356
125,50000,0,634151845967344,634151846163123
126,50400,1,634151932326128,634151932677457
127,50800,0,634152018995281,634152019194671
128,51200,1,634152105654435,634152105855113
129,51600,0,634152191535137,634152191735914
130,52000,1,634152279837851,634152280040198
131,52400,0,634152366377858,634152366605026
132,52800,1,634152452943006,634152453134869
133,53200,0,634152539645810,634152539836554
134,53600,1,634152626698769,634152626898334
135,54000,0,634152714191005,634152714390270
136,54400,1,634152801450366,634152801649772
137,54800,0,634152888783609,634152888951945
138,55200,1,634152975348241,634152977264753
139,55600,0,634153062370398,634153062571607
140,56000,1,634153148833453,634153149037087
141,56400,0,634153235619480,634153235816893
142,56800,1,634153322537258,634153322735432
143,57200,0,634153408717589,634153408921394
144,57600,1,634153495707415,634153495906653
145,58000,0,634153583330636,634153583526862
146,58400,1,634153669636917,634153669835379
147,58800,0,634153756888446,634153757089769
148,59200,1,634153844390947,634153844620809
149,59600,0,634153931130320,634153931328204
150,60000,1,634154017892294,634154018093542
151,60400,0,634154104781314,634154104980090
152,60800,1,634154191044759,634154191244026
153,61200,0,634154277665796,634154277869345
154,61600,1,634154364270637,634154364473437
155,62000,0,634154451014692,634154451210899
156,62400,1,634154538797931,634154538975451
157,62800,0,634154626009901,634154626205231
158,63200,1,634154713307418,634154713503090
159,63600,0,634154800152519,634154800349929
160,64000,1,634154886919429,634154887146971
161,64400,0,634154972983906,634154973182416
162,64800,1,634155059698878,634155059900759
163,65200,0,634155145813592,634155146013500
164,65600,1,634155232065263,634155232262584
165,66000,0,634155320271836,634155320314930
166,66400,1,634155406432008,634155406595817
167,66800,0,634155494195110,634155494392192
168,67200,1,634155581235520,634155581436408
169,67600,0,634155667245509,634155667443449
170,68000,1,634155753763672,634155753960600
171,68400,0,634155840249872,634155840449139
172,68800,1,634155927196724,634155927396605
173,69200,0,634156014882826,634156015114242
174,69600,1,634156101222132,634156101419089
175,70000,0,634156187330841,634156187533839
176,70400,1,634156274090522,634156274287741
177,70800,0,634156360746067,634156360943775
178,71200,1,634156448608796,634156448808874
179,71600,0,634156535007918,634156535204438
180,72000,1,634156621660500,634156621862045
181,72400,0,634156709189727,634156709388596
182,72800,1,634156795728122,634156795929105
183,73200,0,634156881736766,634156881960493
184,73600,1,634156968242570,634156968440640
185,74000,0,634157054862826,634157055062950
186,74400,1,634157141195074,634157141394193
187,74800,0,634157227541941,634157227741270
188,75200,1,634157314391381,634157314590917
189,75600,0,634157402946551,634157402989499
190,76000,1,634157488941488,634157489119141
191,76400,0,634157575261166,634157575459600
192,76800,1,634157661409551,634157661746487
193,77200,0,634157748938861,634157749128299
194,77600,1,634157835584166,634157835783159
195,78000,0,634157921912830,634157922113572
196,78400,1,634158008128701,634158008324403
197,78800,0,634158096745398,634158096911575
198,79200,1,634158182330909,634158182528781
199,79600,0,634158269127483,634158269324337
200,80000,1,634158357100773,634158357296790
201,80400,0,634158442961734,634158443168261
202,80800,1,634158529665576,634158529864344
203,81200,0,634158616287463,634158616485966
204,81600,1,634158703457436,634158703657200
205,82000,0,634158789595890,634158789795280
206,82400,1,634158876862308,634158877043225
207,82800,0,634158963682220,634158963878771
208,83200,1,634159051224232,634159051420862
209,83600,0,634159137852985,634159138059338
210,84000,1,634159224408423,634159224603243
211,84400,0,634159312956493,634159313130455
212,84800,1,634159401705425,634159401902478
213,85200,0,634159488763548,634159488965470
214,85600,1,634159575575708,634159575772887
215,86000,0,634159662762714,634159662956649
216,86400,1,634159751031249,634159751227331
217,86800,0,634159837623004,634159837819627
218,87200,1,634159924102148,634159924301193
219,87600,0,634160010348163,634160010546314
220,88000,1,634160097150377,634160097356660
221,88400,0,634160184271716,634160184472134
222,88800,1,634160272196612,634160272395323
223,89200,0,634160359334549,634160359528683
224,89600,1,634160447306415,634160447349577
225,90000,0,634160533359160,634160533556534
226,90400,1,634160620167356,634160620366825
227,90800,0,634160706563705,634160706758881
228,91200,1,634160793700638,634160793895744
229,91600,0,634160879923981,634160880119213
230,92000,1,634160966200645,634160966394880
231,92400,0,634161052798091,634161052993700
232,92800,1,634161139222087,634161139419449
233,93200,0,634161226891518,634161227090405
234,93600,1,634161314668877,634161314867027
235,94000,0,634161401634969,634161401831660
236,94400,1,634161488134816,634161488329423
237,94800,0,634161574039959,634161574238088
238,95200,1,634161660850141,634161661048005
239,95600,0,634161748594711,634161748791690
240,96000,1,634161834647847,634161834844140
241,96400,0,634161920548742,634161920745582
242,96800,1,634162007645817,634162007843751
243,97200,0,634162094431195,634162094628363
244,97600,1,634162182999777,634162183218781
245,98000,0,634162269544475,634162269739050
246,98400,1,634162356284958,634162356482366
247,98800,0,634162442604138,634162442803205
248,99200,1,634162529323549,634162529522960
249,99600,0,634162616152343,634162616345362
250,100000,1,634162702690501,634162702888804
251,100400,0,634162789345455,634162789540341
252,100800,1,634162876182549,634162876379281
253,101200,0,634162964145872,634162964202877
254,101600,1,634163049721053,634163049918994
255,102000,0,634163137287571,634163137484274
256,102400,1,634163224826805,634163225026744
257,102800,0,634163311805091,634163312009328
258,103200,1,634163398566494,634163398765090
259,103600,0,634163484684838,634163484884562
260,104000,1,634163571392806,634163571592621
261,104400,0,634163657938434,634163658137902
262,104800,1,634163746842575,634163746975614
263,105200,0,634163832759305,634163832959856
264,105600,1,634163919476142,634163919675558
265,106000,0,634164005417169,634164005615724
266,106400,1,634164091848849,634164092073739
267,106800,0,634164180043844,634164180242909
268,107200,1,634164266163254,634164266360413
269,107600,0,634164352908687,634164353100429
270,108000,1,634164441667001,634164441800283
271,108400,0,634164527161002,634164527388416
272,108800,1,634164613959470,634164614159117
273,109200,0,634164700454526,634164700654177
274,109600,1,634164787081645,634164787278326
275,110000,0,634164874257993,634164874455828
276,110400,1,634164960385426,634164960552818
277,110800,0,634165047682507,634165047881899
278,111200,1,634165134649968,634165134847078
279,111600,0,634165223041206,634165223083757
280,112000,1,634165309092654,634165309332550
281,112400,0,634165395311526,634165395512526
282,112800,1,634165481830713,634165482030543
283,113200,0,634165568362393,634165568561274
284,113600,1,634165655441737,634165655642381
285,114000,0,634165741942290,634165742144211
286,114400,1,634165828378565,634165828590677
287,114800,0,634165915297589,634165915498700
288,115200,1,634166002194924,634166002394237
289,115600,0,634166089696656,634166089894906
290,116000,1,634166176169478,634166176368409
291,116400,0,634166263633284,634166263831966
292,116800,1,634166351018234,634166351209909
293,117200,0,634166438029975,634166438228165
294,117600,1,634166525152545,634166525351671
295,118000,0,634166611846514,634166612015916
296,118400,1,634166699219572,634166699355529
297,118800,0,634166785852407,634166786053452
298,119200,1,634166872420519,634166872622524
299,119600,0,634166958911478,634166959111942
300,120000,1,634167047159873,634167047358780
301,120400,0,634167135517017,634167135585562
302,120800,1,634167221659690,634167221846597
303,121200,0,634167307854337,634167308050663
304,121600,1,634167394791667,634167394987833
305,122000,0,634167481644121,634167481839322
306,122400,1,634167568467133,634167568660548
307,122800,0,634167654915299,634167655112915
308,123200,1,634167741539905,634167741736447
309,123600,0,634167827648546,634167827845597
310,124000,1,634167915178902,634167915273557
311,124400,0,634168004287571,634168004479992
312,124800,1,634168090651206,634168090850301
313,125200,0,634168177172270,634168177367137
314,125600,1,634168263864173,634168264058452
315,126000,0,634168350659863,634168350899701
316,126400,1,634168437147052,634168437344126
317,126800,0,634168523398762,634168523596767
318,127200,1,634168610849168,634168611048741
319,127600,0,634168697308677,634168697509470
320,128000,1,634168784514395,634168784741956
321,128400,0,634168870796713,634168870992514
322,128800,1,634168958181341,634168958377387
323,129200,0,634169045293929,634169045490471
324,129600,1,634169131387292,634169131744425
325,130000,0,634169217761234,634169217958868
326,130400,1,634169305655076,634169305852094
327,130800,0,634169392063515,634169392256823
328,131200,1,634169478383952,634169478581367
329,131600,0,634169564802143,634169565004523
330,132000,1,634169650903047,634169651100629
331,132400,0,634169737633080,634169737827018
332,132800,1,634169824165939,634169824364090
333,133200,0,634169911989242,634169912186932
334,133600,1,634169998245603,634169998442827
335,134000,0,634170085991314,634170086063580
336,134400,1,634170171710701,634170172064825
337,134800,0,634170258230882,634170258427231
338,135200,1,634170344831609,634170345030181
339,135600,0,634170431140978,634170431337349
340,136000,1,634170518029653,634170518222715
341,136400,0,634170604675028,634170604871319
342,136800,1,634170691379456,634170691575718
343,137200,0,634170778421898,634170778619118
344,137600,1,634170866629767,634170866694884
