toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
3,0,634141244247018,634141249270474,5.023
4,1,634141331094672,634141339241654,8.147
5,0,634141417402297,634141424233595,6.831
6,1,634141503989776,634141514252936,10.263
7,0,634141590412844,634141599240436,8.828
8,1,634141676356398,634141685282680,8.926
9,0,634141762380034,634141770295840,7.916
10,1,634141849039483,634141860303163,11.264
11,0,634141936693869,634141945283421,8.590
12,1,634142023920612,634142035277837,11.357
13,0,634142110123767,634142116288636,6.165
14,1,634142196219835,634142206322942,10.103
15,0,634142282970793,634142291336529,8.366
16,1,634142369619199,634142381265019,11.646
17,0,634142456549078,634142462295697,5.747
18,1,634142543401218,634142552321885,8.921
19,0,634142630318834,634142637307890,6.989
20,1,634142718594792,634142727310131,8.715
21,0,634142804823292,634142812267386,7.444
22,1,634142891295077,634142902308516,11.013
23,0,634142978972792,634142987293759,8.321
24,1,634143065612740,634143077289041,11.676
25,0,634143152823819,634143162240209,9.416
26,1,634143239461541,634143248279663,8.818
27,0,634143326139459,634143333278979,7.140
28,1,634143412864199,634143423283776,10.420
29,0,634143499835432,634143508297822,8.462
30,1,634143587628348,634143598318431,10.690
31,0,634143674769795,634143683252375,8.483
32,1,634143761512127,634143773335053,11.823
33,0,634143848798399,634143858326131,9.528
34,1,634143936186551,634143948292728,12.106
35,0,634144023103117,634144028829854,5.727
36,1,634144109221819,634144118318062,9.096
37,0,634144195797614,634144203370801,7.573
38,1,634144282594549,634144293281989,10.687
39,0,634144370691251,634144378299596,7.608
40,1,634144457189089,634144468319343,11.130
41,0,634144543436691,634144549299185,5.862
42,1,634144629992919,634144639309430,9.317
43,0,634144717012349,634144724250784,7.238
44,1,634144803282112,634144814316120,11.034
45,0,634144890718329,634144899257969,8.540
46,1,634144978013466,634144989333276,11.320
47,0,634145064571596,634145070314436,5.743
48,1,634145151911667,634145160305901,8.394
49,0,634145237936103,634145245343363,7.407
50,1,634145324884648,634145335339607,10.455
51,0,634145411386651,634145420325376,8.939
52,1,634145497727687,634145506282232,8.555
53,0,634145584186817,634145591308786,7.122
54,1,634145670881506,634145681274115,10.393
55,0,634145758228743,634145766302933,8.074
56,1,634145846613053,634145856291384,9.678
57,0,634145933670329,634145941273689,7.603
58,1,634146019892158,634146031316789,11.425
59,0,634146106321664,634146112322040,6.000
60,1,634146193757532,634146202303399,8.546
61,0,634146281172690,634146287304810,6.132
62,1,634146367447011,634146377297842,9.851
63,0,634146453847875,634146462309772,8.462
64,1,634146540475324,634146552289133,11.814
65,0,634146628014750,634146637255116,9.240
66,1,634146715018880,634146723289026,8.270
67,0,634146802831039,634146812286983,9.456
68,1,634146889386126,634146898289244,8.903
69,0,634146976353678,634146983313657,6.960
70,1,634147063009397,634147073332866,10.323
71,0,634147149633594,634147158252966,8.619
72,1,634147235605976,634147243290554,7.685
73,0,634147323747070,634147328247988,4.501
74,1,634147409926386,634147418294244,8.368
75,0,634147496511987,634147503321128,6.809
76,1,634147582396129,634147593333188,10.937
77,0,634147669758082,634147678251630,8.494
78,1,634147757369503,634147768316913,10.947
79,0,634147844085799,634147849277996,5.192
80,1,634147930026761,634147939319518,9.293
81,0,634148017485972,634148024286988,6.801
82,1,634148105092379,634148114287617,9.195
83,0,634148191583889,634148199301623,7.718
84,1,634148278391419,634148289322850,10.931
85,0,634148364759971,634148370264019,5.504
86,1,634148451726708,634148460317072,8.590
87,0,634148538250112,634148545301676,7.052
